user_id,username,first_name,last_name,first_seen,last_seen,message_count,successful_messages,blocked_messages
7766141934,esksap,Кешка,,2026-01-28T10:56:56.177533,2026-01-28T14:34:23.826445,2,1,1
7955905703,utofi,𝐋𝐮𝐜𝐤𝟏𝐲,,2026-01-28T10:57:00.433724,2026-01-28T15:14:52.548843,13,13,0
7228311090,Zerofx_edits,Zerofx,,2026-01-28T11:00:37.978502,2026-01-28T11:20:19.314801,31,29,2
